8.5,8.89,8.95,excellent
7.5,8,7.96,average
7.5,8.2,8.65,average
7.32,8.1,8.96,average
8.5,7.96,8.12,average
8.58,7.95,8.75,average
9.12,9.02,9.12,excellent
7.23,7.89,8.56,average
9.1,9.65,9.04,excellent
8.96,8.35,8.45,average
8.83,8.65,8.7,excellent
6.85,7.05,7.89,average
4.32,6.53,7.98,below average
5.12,6.45,7.45,below average
7.62,7.8,8.12,average
8.37,8.6325,8.47,average
8.48,8.965,8.5,average
9.12,8.29,7.89,average
9,8.56,8.45,excellent
8.86,8.98,9.23,excellent
8.83,9.17,9.17,excellent
8.8,7.8,8.502,average
8.67,8.12,8.15,average
8.45,8.56,8.59,average
8.23,8.32,8.75,average
8.659,7.23,8.96,average
7.8,7.1,7.89,average
7.32,8.56,8.57,average
7,8.56,9.01,excellent
6.95,7.56,7.96,average
8.12,8.12,8.76,average
7.08,7.08,7.59,average
7.39,7.39,7.89,average
5.96,6.45,7.58,below average
7.8,7.12,8.29,average
7.235,7.596,4.56,below average
8.43,8.6345,8.25,average
8.12,8.74,8.74,average
9.37,9.05,8.89,excellent
9.56,9.32,9.45,excellent
8.69,8.15,8.75,average
7.96,8.73,8.95,excellent
8.756,8.5,8.67,average
8.3,8.45,8.32,average
8.83,8.75,8.32,average
8.45,9.56,8.96,excellent
7.89,8.32,8.57,average
8.632,7.59,7.89,average
8.425,8.15,8.57,average
8.1,7.98,8.45,average
